#,Repository,Primary language,Open bug/issue #,Issue title,Issue URL / issue search,Verification,Last commit (default branch),Notes
1,git-lfs/lfs-test-server,Go,128,Concurrent uploads of the same file can cause intermittent 500 responses,https://github.com/git-lfs/lfs-test-server/issues/128,RECOMMENDED - reproduced,2025-12-16,"Reproduced on latest main (d27ad23): a second upload of the same object while the first is still in flight fails with 'open <oid>.tmp: file exists' -> HTTP 500, and PutHandler then deletes the object's metadata (GET meta -> 404) even though the first upload succeeds. Cause: ContentStore.Put uses one fixed temp path opened with O_EXCL. Deterministic repro test fails 20/20; a per-upload temp file (os.CreateTemp) fixes it and the existing suite stays green. No PRs filed since this issue (it is the newest number in the repo) and none of the 8 open PRs touch this code. Caveats: Go, low-activity repo (last merge 2025-12-16), and go test -race can't run because boltdb v1.3.1 trips checkptr."
2,google/textfsm,Python,125,textfsm Cannot recognize '-',https://github.com/google/textfsm/issues/125,Needs state check,2025-04-17,No commit on master or in later PRs references #125. Not reproduced; open/closed state not checked.
3,Xzandro/sw-exporter,Python,516,Proxy error happening randomly in Steam mode,https://github.com/Xzandro/sw-exporter/issues/516,Needs state check,2026-09-22,No commit on master or in later PRs references #516. Not reproduced; open/closed state not checked.
4,getgauge/gauge-python,Python,460,Python plugin fails with debugpy 1.8.16 - timeout during adapter connection,https://github.com/getgauge/gauge-python/issues/460,Can't reproduce,2026-09-01,"debugpy.listen works with debugpy 1.8.16 and 1.8.21 in plain Python, and the repo now pins debugpy==1.8.21. The failure seems specific to how Gauge launches the plugin; needs the issue's details."
5,xanzy/go-gitlab,Go,1967,Incorrect URL in error messages,https://github.com/xanzy/go-gitlab/issues/1967,Repo archived,2024-12-10,README says the repository is archived and development moved to https://gitlab.com/gitlab-org/api/client-go; last commit 2024-12-10. The issue can't be fixed in this repo.
6,kubernetes-client/python,Python,2596,v36.0.0 regression fetching container logs,https://github.com/kubernetes-client/python/issues/2596,Likely fixed,2026-09-22,"v36.0.3 (2026-07-09) fixes 'Watch.stream selecting watch instead of follow when streaming pod logs' (commit 2d6966f), a v36 regression in fetching container logs."
7,aspiers/stow,Perl,134,Ignore Only Works Correctly in every scenario with --no-folding,https://github.com/aspiers/stow/issues/134,Needs state check,2025-12-02,No commit on master or in later PRs references #134. Not reproduced; open/closed state not checked.
8,thingsboard/thingsboard-gateway,Python,2135,Connector polling stops after prolonged internet disconnection and fails to recover automatically,https://github.com/thingsboard/thingsboard-gateway/issues/2135,Needs state check,2026-09-22,No commit on master or in later PRs references #2135. Not reproduced; open/closed state not checked.
9,sentinel-hub/sentinelhub-py,Python,573,SessionSharing doesn't work on Windows - shared memory destroyed after handle closed,https://github.com/sentinel-hub/sentinelhub-py/issues/573,Needs state check,2026-09-16,No commit on master or in later PRs references #573. Not reproduced; open/closed state not checked.
10,grpc/grpc-go,Go,9409,Do not honor initial_metadata field in grpc_service proto if the control plane is not trusted,https://github.com/grpc/grpc-go/issues/9409,Needs state check,2026-09-22,No commit on master or in later PRs references #9409. Not reproduced; open/closed state not checked. Title reads as a hardening/feature task rather than a bug report; check its labels.
11,openzim/zim-tools,C++,514,zimwriterfs interprets ' in meta-refresh URL field literally,https://github.com/openzim/zim-tools/issues/514,Likely fixed,2026-09-15,PR #515 merged 2026-08-08 (ebee363 'Improve the refresh URL parsing') strips quotes around the refresh URL; unit tests cover url='...'.
12,amberframework/granite,Crystal,461,stack overflow when accidentally using Enum without .to_i in where,https://github.com/amberframework/granite/issues/461,Needs state check,2026-06-13,No commit on master or in later PRs references #461. Not reproduced; open/closed state not checked.
13,google/benchmark,C++,2195,MaybeReenterWithoutASLR() infinite loop under AppArmor,https://github.com/google/benchmark/issues/2195,Needs state check,2026-09-21,No commit on main or in later PRs references #2195. Not reproduced; open/closed state not checked.
14,libexpat/libexpat,C,967,The Expat parser fails to validate the XML version string correctly,https://github.com/libexpat/libexpat/issues/967,Related fix merged,2026-09-22,PR #1354 merged 2026-09-07 (5f755ad): 'Reject an XML declaration version other than 1.[0-9]+ (related to #967)'. Check whether the issue is still open and what's left to fix.
15,aquasecurity/trivy,Go,10976,index out of range panic in dependency parsers and OS detector,https://github.com/aquasecurity/trivy/issues/10976,Fix PR open,2026-09-23,Commits in 10 PRs reference #10976; PRs #10999/#11001 and #11145 are still open.
16,hyperledger/fabric-chaincode-java,Java,361,May org.json.JSONObject ... lead submit payloads not matching?,https://github.com/hyperledger/fabric-chaincode-java/issues/361,Needs state check,2026-09-21,No commit on main or in later PRs references #361. Not reproduced; open/closed state not checked. Title is phrased as a question; check whether a maintainer confirmed it as a bug.
17,bitcoin-core/btcdeb,C++,178,OP_CODESEPARATOR handling,https://github.com/bitcoin-core/btcdeb/issues/178,Needs state check,2026-07-26,No commit on master or in later PRs references #178. Not reproduced; open/closed state not checked.
18,cpplint/cpplint,Python,442,JUnit support doesn't count amount of tests correctly,https://github.com/cpplint/cpplint/issues/442,Fix PR open,2026-09-07,"Bug still reproduces on latest develop (3 files checked -> tests=""7""), but open PR #457 'fix(junit): narrow count correction' changes the tests/failures counts to one per file, which is this issue."
19,heroiclabs/nakama-js,TypeScript,172,Possible Bug in server to server RPC calls,https://github.com/heroiclabs/nakama-js/issues/172,Needs state check,2026-06-02,No commit on master or in later PRs references #172. Not reproduced; open/closed state not checked.
20,PintaProject/Pinta,C#,2247,StartupWMClass incorrect value,https://github.com/PintaProject/Pinta/issues/2247,Likely fixed,2026-09-21,Commit 39a7700 (2026-08-07) 'Update StartupWMClass to match the application ID' says 'Fixes: #2247'; GitHub auto-closes the issue when that lands on the default branch.
21,tryghost/Ghost,JavaScript,27905,contrast_text_color helper returns incorrect text color,https://github.com/tryghost/Ghost/issues/27905,Likely fixed,2026-09-23,"PR #29834 merged 2026-08-10: 'Fixed contrast_text_color returning incorrect text color for some light backgrounds' (closes #27797, the same bug)."
22,medusajs/medusa,TypeScript,16266,Editing prices in an existing price list returns 500,https://github.com/medusajs/medusa/issues/16266,Needs state check,2026-09-23,No commit on develop or in later PRs references #16266. Not reproduced; open/closed state not checked.
23,wevm/wagmi,TypeScript,3635,waitForTransactionReceipt doesn't accept client with multiple possible chains,https://github.com/wevm/wagmi/issues/3635,Fix PR open,2026-08-27,Open PR #5136 'fix(core): prevent distributive conditional type in GetClientReturnType' references #3635.
24,kubernetes/kubectl,Go,1829,cmd/get custom-columns causes label-columns to be silently ignored,https://github.com/kubernetes/kubectl/issues/1829,Likely fixed,2026-09-21,"kubectl get now errors out ('--label-columns option cannot be used with custom-columns printer') instead of silently ignoring -L; see commit 76619b0 (2026-04-23, kubernetes#138094)."
25,kubernetes-csi/csi-test,Go,214,Strict pagination check in listsnapshot test code,https://github.com/kubernetes-csi/csi-test/issues/214,Needs state check,2026-08-25,No commit on master or in later PRs references #214. Not reproduced; open/closed state not checked.
26,kubernetes-sigs/container-object-storage-interface,Go,276,COSI Sidecar allows BucketAccesses to Buckets provisioned by a different driver,https://github.com/kubernetes-sigs/container-object-storage-interface/issues/276,Likely fixed,2026-09-01,Commit 4565b444 (2026-08-02) 'sidecar: validate Bucket driverName before granting BucketAccess' adds exactly this check.
27,googlecloudplatform/cloud-builders,Go/Python,1056,gcr.io/cloud-builders/mvn:appengine unable to find Python,https://github.com/googlecloudplatform/cloud-builders/issues/1056,Fix PR open,2026-06-11,Open PR #1111 'Fix: add python package to mvn:appengine builder' references #1056.
28,kubernetes-sigs/lws,Go,943,Upgrade E2E required for upgrade-sensitive changes,https://github.com/kubernetes-sigs/lws/issues/943,Needs state check,2026-09-23,No commit on main or in later PRs references #943. Not reproduced; open/closed state not checked. Title reads as a test/process task rather than a bug report; check its labels.
29,apache/shiro,Java,2713,Unexpected session expiration behavior on ARM64 architecture,https://github.com/apache/shiro/issues/2713,Needs state check,2026-09-22,No commit on main or in later PRs references #2713. Not reproduced; open/closed state not checked.
30,bytedeco/javacpp,Java/C++,823,Memory leak at VectorAdapter because P destructor never called,https://github.com/bytedeco/javacpp/issues/823,Needs state check,2026-08-11,No commit on master or in later PRs references #823. Not reproduced; open/closed state not checked.
31,pallets/flask,Python,,,https://github.com/pallets/flask/issues?q=is%3Aissue+is%3Aopen+label%3Abug,Candidate,2026-09-08,No specific issue picked yet. Bug template applies no label; 'bug' label not confirmed from repo files.
32,pallets/werkzeug,Python,,,https://github.com/pallets/werkzeug/issues?q=is%3Aissue+is%3Aopen+label%3Abug,Candidate,2026-09-21,No specific issue picked yet. Bug template applies no label; 'bug' label not confirmed from repo files.
33,encode/httpx,Python,,,https://github.com/encode/httpx/issues?q=is%3Aissue+is%3Aopen+label%3Abug,Candidate,2026-02-23,No specific issue picked yet. Issues are opened only after a Discussion; possible bugs are 'Potential Issue' discussions. Expect few open issues.
34,pydantic/pydantic,Python,,,https://github.com/pydantic/pydantic/issues?q=is%3Aissue+is%3Aopen+label%3A%22bug+V2%22,Candidate,2026-09-23,No specific issue picked yet. Bug template applies 'bug V2' (+ 'pending'); V1 bugs use 'bug V1'.
35,pytest-dev/pytest,Python,,,https://github.com/pytest-dev/pytest/issues?q=is%3Aissue+is%3Aopen+label%3A%22type%3A+bug%22,Candidate,2026-09-23,No specific issue picked yet. CONTRIBUTING.rst links bugs to the 'type: bug' label.
36,sqlalchemy/sqlalchemy,Python,,,https://github.com/sqlalchemy/sqlalchemy/issues?q=is%3Aissue+is%3Aopen+label%3Abug,Candidate,2026-09-21,No specific issue picked yet. Bug template applies 'requires triage'; 'bug' label not confirmed from repo files.
37,celery/celery,Python,,,https://github.com/celery/celery/issues?q=is%3Aissue+is%3Aopen+label%3A%22Issue+Type%3A+Bug+Report%22,Candidate,2026-09-22,No specific issue picked yet. Bug template applies 'Issue Type: Bug Report'.
38,scrapy/scrapy,Python,,,https://github.com/scrapy/scrapy/issues?q=is%3Aissue+is%3Aopen+label%3Abug,Candidate,2026-09-23,No specific issue picked yet. Bug template applies no label; 'bug' label not confirmed from repo files.
39,scikit-learn/scikit-learn,Python,,,https://github.com/scikit-learn/scikit-learn/issues?q=is%3Aissue+is%3Aopen+label%3ABug,Candidate,2026-09-22,No specific issue picked yet. Bug template applies 'Bug' (+ 'Needs Triage').
40,numpy/numpy,Python/C,,,https://github.com/numpy/numpy/issues?q=is%3Aissue+is%3Aopen+label%3A%2200+-+Bug%22,Candidate,2026-09-23,No specific issue picked yet. Bug template applies '00 - Bug'.
41,pandas-dev/pandas,Python/Cython,,,https://github.com/pandas-dev/pandas/issues?q=is%3Aissue+is%3Aopen+label%3ABug,Candidate,2026-09-22,No specific issue picked yet. Bug template applies 'Bug' (+ 'Needs Triage').
42,fastapi/fastapi,Python,,,https://github.com/fastapi/fastapi/issues?q=is%3Aissue+is%3Aopen+label%3Abug,Candidate,2026-09-01,No specific issue picked yet. Issues are maintainer-only ('Privileged' template); bug reports start in Discussions > Questions. Expect few open issues.
43,apache/airflow,Python,,,https://github.com/apache/airflow/issues?q=is%3Aissue+is%3Aopen+label%3A%22kind%3Abug%22,Candidate,2026-09-23,No specific issue picked yet. Bug template applies 'kind:bug' (+ 'needs-triage').
44,apache/superset,Python/TypeScript,,,https://github.com/apache/superset/issues?q=is%3Aissue+is%3Aopen+label%3A%22%23bug%22,Candidate,2026-09-23,No specific issue picked yet. Bug template applies '#bug'.
45,jupyterlab/jupyterlab,TypeScript/Python,,,https://github.com/jupyterlab/jupyterlab/issues?q=is%3Aissue+is%3Aopen+label%3Abug,Candidate,2026-09-23,No specific issue picked yet. No issue templates in repo; 'bug' label not confirmed from repo files.
46,home-assistant/core,Python,,,https://github.com/home-assistant/core/issues?q=is%3Aissue+is%3Aopen,Candidate,2026-09-23,"No specific issue picked yet. Bug template applies no label and feature requests go to Discussions, so most open issues are bug reports; dropped the label:bug filter because the template never applies it."
47,streamlit/streamlit,Python/TypeScript,,,https://github.com/streamlit/streamlit/issues?q=is%3Aissue+is%3Aopen+label%3A%22type%3Abug%22,Candidate,2026-09-23,No specific issue picked yet. Bug template applies 'type:bug' (+ 'status:needs-triage').
48,ansible/ansible,Python,,,https://github.com/ansible/ansible/issues?q=is%3Aissue+is%3Aopen+label%3Abug,Candidate,2026-09-22,No specific issue picked yet. Pre-release bug template applies 'bug'.
49,pytest-dev/pluggy,Python,,,https://github.com/pytest-dev/pluggy/issues?q=is%3Aissue+is%3Aopen+label%3Abug,Candidate,2026-09-22,No specific issue picked yet. No issue templates in repo; 'bug' label not confirmed from repo files.
50,psf/requests,Python,,,https://github.com/psf/requests/issues?q=is%3Aissue+is%3Aopen+label%3Abug,Candidate,2026-09-21,No specific issue picked yet. Bug template applies no label; 'bug' label not confirmed from repo files.
